"Zona","Precio (€/mes)","Habitaciones","Baños","Metros cuadrados","Planta","Ubicación","Caracteristicas","Extras","Contacto","Telefono","Detalles contacto","Descripcion","Images","ref. Fotocasa","url"
"Sant Andreu de la Barca","750","3","1","96","3ª","Piso en Calle Riera Canals / Sant Andreu de la Barca","Tipo de inmueble : Piso, Planta : 3ª planta, Estado : Buen estado","Amueblado, Ascensor, Balcón, Gres Cerámica","Don Piso - Sant Andreu De La Barca","935432218","Referencia : A221161 Contacto: Vanesa","Piso de alquiler semi amueblado en Sant Andreu de la Barca, Piso de 96m² construidos. 3 habitaciones todas ellas exteriores. Comedor y cocina con salida a balcón. Finca con ascensor y totalmente reformado. Disponibilidad inmediata. Gastos incluidos.  CONDICIONES: Se realiza seguro de viabilidad de arrendamiento. Se requiere 2 meses de fianza. No se admiten mascotas.","https://d.inmofactory.com/1/102691/16261327/216968868.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261327/216968862.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261327/216968836.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261327/216968832.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261327/216968865.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261327/216968871.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261327/216968800.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261327/216968804.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261327/216968808.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261327/216968940.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261327/216968945.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261327/216968948.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261327/216968954.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261327/216968891.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261327/216968893.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261327/216968916.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261327/216968811.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261327/216968908.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261327/216968910.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261327/216968919.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261327/216968922.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261327/216968915.jpg/690x518/p_1","149734231","https://www.fotocasa.es/vivienda/sant-andreu-de-la-barca/ascensor-amueblado-calle-riera-canals-149734231?RowGrid=11&tti=3&opi=300"
"Collbató","2000","5","3","300","","Chalet en Collbató, Zona De - Collbató / Collbató","Tipo de inmueble : Chalet, Estado : Casi nuevo, Orientación : Orientación Sur","Amueblado, Armarios, Balcón, Calefacción, Cocina Equipada, Cocina Office, Domótica, Electrodomésticos, Gres Cerámica, Horno, Internet, Jardín Privado, Lavadero, Lavadora, Microondas, Nevera, Parquet, Patio, Piscina, Puerta Blindada, Suite - con baño, Terraza, Trastero, TV, Vistas a la montaña, Zona Deportiva","A&D Immobiliaria","935432875","Referencia : A-238 Contacto: Ad Immobiliaria","Impresionante CHALET de alta gama, con acabados de calidad, se ofrece en alquiler con opción a compra. Obligatorio entrada mínima de 50.000€ para optar por la opción a compra. Este espectacular chalet a las faldas de la mítica Montaña de Montserrat y a 2 minutos de la A2 que nos conduce a Barcelona ciudad en 30 minutos, nos ofrece calidad de vida, en un entorno tranquilo, seguro y único. Cuenta con una Parcela de 13.000m2 (1.3 Hectareas) con campo con olivas, granja y zona de bosque. Frente a la vivienda tenemos una piscina de obra nueva con sistema de purificación nueva. La vivienda que está dividida en dos plantas, primera planta de 220m2, nos ofrece tres habitaciones dobles, cocina semiamericana, amplio salón comedor, dos baños completos (bañera y plato de ducha) suelos de marmol, plaza de parking bajo techo para tres coches, acabados de primera calidad, la segunda planta se compone por una habitación estilo SUITE de 80m2 con una baño de 10m2 y un vestidor de 20m2, con salida a una terraza que mira a la piscina y al patio exterior.  No esperes más y ven a enamorarte de esta vivienda.  Interesados leer las condiciones. Llámanos","https://d.inmofactory.com/1/108745/16311984/216927859.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216927866.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216927883.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216927891.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216927898.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216927907.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216927913.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216927942.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216927949.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216927959.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216927975.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216927985.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216927996.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928002.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928008.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928012.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928031.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928037.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928041.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928055.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928060.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928066.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928071.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928075.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928079.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928083.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928088.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928090.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928096.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928098.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928099.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928109.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928118.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928121.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928123.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928124.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928125.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928126.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928146.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928163.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928164.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928165.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928166.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928168.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928169.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928186.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16311984/216928188.jpg/690x518/p_1","149731980","https://www.fotocasa.es/vivienda/collbato/calefaccion-jardin-terraza-trastero-patio-piscina-amueblado-television-se-aceptan-mascotas-internet-collbato-149731980?RowGrid=12&tti=3&opi=300"
"Martorell","650","3","1","90","1ª","Piso en Martorell ,El Pla / Martorell","Tipo de inmueble : Piso, Planta : 1ª planta, Estado : Buen estado","Aire acondicionado, Amueblado, Ascensor, Calefacción, Terraza","Macrofincas","935439390","Referencia : MCM0296MV Contacto: Macrofincas Esparrague...","REF.    Piso en Martorell zona El Pla, 90m2.    DISTRIBUCIÓN  - Comedor con salida a terraza de 5 m2,   - Cocina independiente con espacio para mesa y con salida a lavadero.  - Lavadero  - Terraza  - 3 hab.(1 doble 2 indv.)  - 1 baño completo  - 1 aseo    CALIDADES  Acabados en greshayaalum.climalit.   Con aire acondicionado, calefacción.    ZONA Y TRANSPORTE  A tan solo a 5' tanto del tren, (FGC y RENFE) como de la parada de autobús (Hispano Igualadina y autobús del pueblo de Martorell.  Ambos transportes tienen parada tanto en Barcelona, como a Manresa e Igualada, entre otras poblacionesciudades.","https://d.inmofactory.com/1/106876/16311569/216919966.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919967.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919968.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919969.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919970.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919971.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919972.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919973.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919974.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919975.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919976.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919977.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919978.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919979.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919980.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919981.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919982.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919983.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919984.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919985.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919986.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919987.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919988.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919989.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919990.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919991.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919992.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919993.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919994.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919995.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919996.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/16311569/216919997.jpg/690x518/p_1","149731713","https://www.fotocasa.es/vivienda/martorell/aire-acondicionado-calefaccion-terraza-ascensor-amueblado-martorell-149731713?RowGrid=13&tti=3&opi=300"
"Sant Andreu de la Barca","1400","5","1","190","","Chalet en Sant Andreu De La Barca, Zona De - Sant Andreu De La Barca / Sant Andreu de la Barca","Tipo de inmueble : Chalet, Estado : Buen estado, Antigüedad : De 30 a 50 años","Aire acondicionado, Garaje Privado, Horno, Jardín Privado, Lavadero, Parquet, Patio, Terraza, Trastero","Fincas Ordoñez","932933041","Referencia : 2527 Contacto: Fincas Ordoñez","Casa de 190m², independiente y  totalmente reformada. Ubicada en Zona residencial del pueblo y muy cerca de todos los servicios. Consta de 5 habitaciones, salón -comedor, baño completo, aseo cocina, lavadero, terraza, patio, garaje privado,ventanas aluminio y madera, suelo parquet, trastero. Basuras y vado corren a cargo del inquilino. Condiciones del alquiler: 2 fianzas a Incasol, mes corriente y gestiones. Seguro impago: Contrato laboral fijo de mas de un año, 2 ultimas nominas y Dni.","https://d.inmofactory.com/1/98447/16169913/216568672.jpg/690x518/p_1, https://d.inmofactory.com/1/98447/16169913/213625828.jpg/690x518/p_1, https://d.inmofactory.com/1/98447/16169913/213625977.jpg/690x518/p_1, https://d.inmofactory.com/1/98447/16169913/213625791.jpg/690x518/p_1, https://d.inmofactory.com/1/98447/16169913/213625788.jpg/690x518/p_1, https://d.inmofactory.com/1/98447/16169913/213625790.jpg/690x518/p_1, https://d.inmofactory.com/1/98447/16169913/213625969.jpg/690x518/p_1, https://d.inmofactory.com/1/98447/16169913/213625966.jpg/690x518/p_1, https://d.inmofactory.com/1/98447/16169913/213625825.jpg/690x518/p_1, https://d.inmofactory.com/1/98447/16169913/213625881.jpg/690x518/p_1, https://d.inmofactory.com/1/98447/16169913/213625811.jpg/690x518/p_1, https://d.inmofactory.com/1/98447/16169913/216568193.jpg/690x518/p_1, https://d.inmofactory.com/1/98447/16169913/216568195.jpg/690x518/p_1","149520253","https://www.fotocasa.es/vivienda/sant-andreu-de-la-barca/aire-acondicionado-parking-jardin-terraza-trastero-patio-sant-andreu-de-la-barca-149520253?RowGrid=14&tti=3&opi=300"
"Esparreguera","650","2","1","60","1ª","Piso en Esparreguera, Zona De - Esparreguera / Esparreguera","Tipo de inmueble : Piso, Planta : 1ª planta, Estado : Casi nuevo","Aire acondicionado, Armarios, Ascensor, Balcón, Calefacción, Cocina Office, Horno, Lavadero, Parking comunitario, Puerta Blindada, Vistas a la montaña","Tothabitatges","932755712","Referencia : e-1135 Contacto: Tothabitatges","piso de 2 habitaciones dobles, 1 baño completo, plaza de garaje, balcón , parquet, aire acondicionado, calefacción, cocina office, lavadero , piso muy soleado, ven a verlo por 650 euros","https://d.inmofactory.com/1/92040/16308682/216844168.jpg/690x518/p_1, https://d.inmofactory.com/1/92040/16308682/216844192.jpg/690x518/p_1, https://d.inmofactory.com/1/92040/16308682/216844196.jpg/690x518/p_1, https://d.inmofactory.com/1/92040/16308682/216844204.jpg/690x518/p_1, https://d.inmofactory.com/1/92040/16308682/216844241.jpg/690x518/p_1, https://d.inmofactory.com/1/92040/16308682/216844245.jpg/690x518/p_1, https://d.inmofactory.com/1/92040/16308682/216844248.jpg/690x518/p_1, https://d.inmofactory.com/1/92040/16308682/216844253.jpg/690x518/p_1, https://d.inmofactory.com/1/92040/16308682/216844273.jpg/690x518/p_1, https://d.inmofactory.com/1/92040/16308682/216844276.jpg/690x518/p_1","149727896","https://www.fotocasa.es/vivienda/esparreguera/aire-acondicionado-calefaccion-ascensor-parking-esparreguera-149727896?RowGrid=15&tti=3&opi=300"
"Collbató","1500","4","3","240","","Chalet en Collbató, Zona De - Collbató / Collbató","Tipo de inmueble : Chalet","Calefacción, Garaje Privado, Jardín Privado, Piscina, Vistas a la montaña","Finquespa","932991896","Referencia : 1295 Contacto: Administrador","SEMINUEVA - 4 HABITACIONES - 3 BAÑOS -  CALEFACCION - GARAJE 100M - PISCINA PARTICULAR... 1.500€!!","https://d.inmofactory.com/1/86924/16307692/216816338.jpg/690x518/p_1, https://d.inmofactory.com/1/86924/16307692/216816295.jpg/690x518/p_1, https://d.inmofactory.com/1/86924/16307692/216816305.jpg/690x518/p_1, https://d.inmofactory.com/1/86924/16307692/216816291.jpg/690x518/p_1, https://d.inmofactory.com/1/86924/16307692/216816294.jpg/690x518/p_1, https://d.inmofactory.com/1/86924/16307692/216816340.jpg/690x518/p_1, https://d.inmofactory.com/1/86924/16307692/216816319.jpg/690x518/p_1, https://d.inmofactory.com/1/86924/16307692/216816292.jpg/690x518/p_1, https://d.inmofactory.com/1/86924/16307692/216816346.jpg/690x518/p_1","149726360","https://www.fotocasa.es/vivienda/collbato/calefaccion-parking-jardin-piscina-collbato-149726360?RowGrid=16&tti=3&opi=300"
"Esparreguera","575","2","1","50","","Casa adosada en Esparreguera / Esparreguera","Tipo de inmueble : Casa adosada","Aire acondicionado, Trastero","Finques Isavi","932753128","Referencia : 5689 Contacto: Finques Isavi","Casita pareada de 50 m2 en alquiler, 2 habitaciones, baño completo, comedor, cocina equipada, suelo de gres, trastero de 50 m2, terraza de 50 m2, a. acondicionado con bomba de calor, zona tranquila. POSIBILIDAD ALQUILER CON OPCION A COMPRA DANDO UNA ENTRADA DEL 20% o venta directa. SE REQUIERE NOMINAS FIJAS PARA PASAR SEGURO DE IMPAGOS.","https://d.inmofactory.com/1/92826/15779690/205515670.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/15779690/205515669.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/15779690/205515668.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/15779690/205515671.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/15779690/205515672.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/15779690/205515673.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/15779690/205515674.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/15779690/205515675.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/15779690/205515676.jpg/690x518/p_1","148963342","https://www.fotocasa.es/vivienda/esparreguera/aire-acondicionado-trastero-esparreguera-148963342?RowGrid=17&tti=3&opi=300"
"Martorell","950","4","2","100","1ª","Piso en Martorell ,Camí Fondo / Martorell","Tipo de inmueble : Piso, Planta : 1ª planta, Estado : Buen estado","Aire acondicionado, Ascensor, Balcón, Calefacción, Parquet, Terraza, Trastero","Habitat Catalunya","932824382","Referencia : 88407 Contacto: Habitat Catalunya","Piso en Martorell zona Camí Fondo, 100 m. de superficie, 2 habitaciones dobles y 2 habitaciones sencillas, 2 baños completos, propiedad en buen estado, carpinteria interior de roble, suelo de parquet, carpintería exterior de aluminio.  aire acondicionado, ascensor, 1 balcón, calefacción, gas ciudad, muy luminoso, gran terraza, trastero,muy  céntrico, zona de paso, parking incluído    sin muebles, menos 1 habitación- despacho","https://d.inmofactory.com/1/98115/16304564/216732740.jpg/690x518/p_1, https://d.inmofactory.com/1/98115/16304564/216732741.jpg/690x518/p_1, https://d.inmofactory.com/1/98115/16304564/216732742.jpg/690x518/p_1, https://d.inmofactory.com/1/98115/16304564/216732743.jpg/690x518/p_1, https://d.inmofactory.com/1/98115/16304564/216732744.jpg/690x518/p_1, https://d.inmofactory.com/1/98115/16304564/216732745.jpg/690x518/p_1, https://d.inmofactory.com/1/98115/16304564/216732746.jpg/690x518/p_1, https://d.inmofactory.com/1/98115/16304564/216732747.jpg/690x518/p_1, https://d.inmofactory.com/1/98115/16304564/216732748.jpg/690x518/p_1, https://d.inmofactory.com/1/98115/16304564/216732749.jpg/690x518/p_1, https://d.inmofactory.com/1/98115/16304564/216732750.jpg/690x518/p_1, https://d.inmofactory.com/1/98115/16304564/216732751.jpg/690x518/p_1, https://d.inmofactory.com/1/98115/16304564/216732752.jpg/690x518/p_1, https://d.inmofactory.com/1/98115/16304564/216732753.jpg/690x518/p_1, https://d.inmofactory.com/1/98115/16304564/216732754.jpg/690x518/p_1","149721234","https://www.fotocasa.es/vivienda/martorell/aire-acondicionado-calefaccion-terraza-trastero-ascensor-martorell-149721234?RowGrid=18&tti=3&opi=300"
"Sant Andreu de la Barca","750","3","1","75","4ª","Piso en Calle Catalunya / Sant Andreu de la Barca","Tipo de inmueble : Piso, Planta : 4ª planta, Estado : Casi nuevo","Aire acondicionado, Armarios, Balcón, Calefacción, Lavadero, Parquet, Puerta Blindada","Finques J&C","932886832","Referencia : 904 Contacto: Cristóbal Román","Estupendo piso céntrico en Sant Andreu de la Barca. -  Amplio salón comedor de 22 m2 con balcón. - Cocina con lavadero independiente. - Dispone de tres dormitorios dos de ellos dobles. - Baño completo con bañera. - Totalmente reformado. - Ubicación céntrica, cerca de todos los servicios, trasportes y comercios.","https://d.inmofactory.com/1/91250/16303013/216679197.jpg/690x518/p_1, https://d.inmofactory.com/1/91250/16303013/216679199.jpg/690x518/p_1, https://d.inmofactory.com/1/91250/16303013/216677679.jpg/690x518/p_1, https://d.inmofactory.com/1/91250/16303013/216679171.jpg/690x518/p_1, https://d.inmofactory.com/1/91250/16303013/216679166.jpg/690x518/p_1, https://d.inmofactory.com/1/91250/16303013/216679192.jpg/690x518/p_1, https://d.inmofactory.com/1/91250/16303013/216679235.jpg/690x518/p_1, https://d.inmofactory.com/1/91250/16303013/216679268.jpg/690x518/p_1, https://d.inmofactory.com/1/91250/16303013/216679303.jpg/690x518/p_1, https://d.inmofactory.com/1/91250/16303013/216679362.jpg/690x518/p_1, https://d.inmofactory.com/1/91250/16303013/216679368.jpg/690x518/p_1, https://d.inmofactory.com/1/91250/16303013/216677689.jpg/690x518/p_1, https://d.inmofactory.com/1/91250/16303013/216679316.jpg/690x518/p_1, https://d.inmofactory.com/1/91250/16303013/216679281.jpg/690x518/p_1, https://d.inmofactory.com/1/91250/16303013/216679299.jpg/690x518/p_1, https://d.inmofactory.com/1/91250/16303013/216679161.jpg/690x518/p_1","149719183","https://www.fotocasa.es/vivienda/sant-andreu-de-la-barca/aire-acondicionado-calefaccion-calle-catalunya-149719183?RowGrid=19&tti=3&opi=300"
"Sant Andreu de la Barca","995","3","1","141","4ª","Piso en Sant Andreu De La Barca ,Carretera De Barcelona / Sant Andreu de la Barca","Tipo de inmueble : Piso, Planta : 4ª planta, Estado : Buen estado","Aire acondicionado, Ascensor, Balcón, Calefacción, Parquet, Puerta Blindada, Terraza, Trastero, Videoportero","Vivendis Inmobiliaria","932992396","Referencia : 00251 Contacto: Vivendis","Atico con terraza, acceso desde la misma vivienda y desde el exterior, siendo la intimidad su mayor valor, el piso tiene 3 habitaciones , 1 baño y 1 aseo. Acabado de alta calidad, parquet aire acondicionado y calefaccion por conductos además dispone de radiadores de gas natural.Está en la zona crta de barcelona, frente a guardería. a 5 min de ffcc, al lado de parada de bus. y junto a supermercado. Disfruta de su terraza, sus buenos acabados y a 5 min de cualquier servicio, que mas necesitas? LA VIVIENDA SE ENTREGA SIN AMUEBLAR Y SIN ELECTRODOMESTICOS . NO SE ADMINTEN ANIMALES.    ALQUILER 995 EUROS AL MES TODO INCLUIDO.    CONDICIONES DEL ALQUILER: dos meses de fianza, mes corriente y honorarios de la oficina. No se admiten reservas sin previa aceptacion por parte del seguro de proteccion de impagos. Presentacion de tres ultimas nominas y contrato de trabajo indefinido imprescindible.","https://d.inmofactory.com/1/97409/16301737/216641056.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641057.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641058.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641060.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641061.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641062.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641063.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641064.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641065.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641066.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641067.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641068.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641069.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641070.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641071.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641072.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641073.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641074.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641075.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641076.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641077.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641078.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641079.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641080.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641081.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641082.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641083.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641084.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641085.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641086.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641087.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641088.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641089.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641090.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641091.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641092.jpg/690x518/p_1, https://d.inmofactory.com/1/97409/16301737/216641093.jpg/690x518/p_1","149716957","https://www.fotocasa.es/vivienda/sant-andreu-de-la-barca/aire-acondicionado-calefaccion-terraza-trastero-ascensor-sant-andreu-de-la-barca-149716957?RowGrid=20&tti=3&opi=300"
"Sant Andreu de la Barca","850","3","2","81","3ª","Piso en Calle Berguegà / Sant Andreu de la Barca","Tipo de inmueble : Piso, Planta : 3ª planta, Estado : Buen estado, Antigüedad : De 20 a 30 años","Ascensor, Balcón, Calefacción, No amueblado, Parquet, Suite - con baño","Don Piso - Sant Andreu De La Barca","935432218","Referencia : A221162 Contacto: Vanesa","Piso de alquiler de 81m² construidos, 3 habitaciones, la habitación principal con baño suitte con bañera, comedor con salida balcón, cocina amplia con lavadero, baño completo con ducha. Finca con ascensor. Parket, calefacción de gas natural. Zona inmejorable. Cerca de transporte público, colegios y mercadona CONDICIONES: Se realiza seguro de viabilidad de arrendamiento. Dos meses de fianza. No se admiten mascotas.","https://d.inmofactory.com/1/102691/16261458/215644671.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261458/215644664.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261458/215644625.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261458/215644681.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261458/215644675.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261458/215644579.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261458/215644529.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261458/215644577.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261458/215644597.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261458/215644612.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261458/215644583.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261458/215644589.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16261458/215644623.jpg/690x518/p_1","149656449","https://www.fotocasa.es/vivienda/sant-andreu-de-la-barca/calefaccion-ascensor-no-amueblado-calle-berguega-149656449?RowGrid=21&tti=3&opi=300"
